Easy,Category 3 hurricane,5-Sep,1950
King,Category 4 hurricane,18-Oct,1950
Florence,Category 1 hurricane,26-Sep,1953
Hazel,Category 1 hurricane,9-Oct,1953
Flossy,Category 1 hurricane,24-Sep,1956
Donna,Category 4 hurricane,10-Sep,1960
Cleo,Category 2 hurricane,27-Aug,1964
Dora,Category 2 hurricane,10-Sep,1964
Isbell,Category 2 hurricane,14-Oct,1964
Betsy,Category 3 hurricane,8-Sep,1965
Alma,Category 2 hurricane,9-Jun,1966
Inez,Category 1 hurricane,8-Oct,1966
Gladys,Category 2 hurricane,19-Oct,1968
Agnes,Category 1 hurricane,19-Jun,1972
Eloise,Category 3 hurricane,23-Sep,1975
David,Category 2 hurricane,3-Sep,1979
Elena,Category 3 hurricane,1-Sep,1985
Kate,Category 2 hurricane,21-Nov,1985
Floyd,Category 1 hurricane,12-Oct,1987
Andrew,Category 5 hurricane,24-Aug,1992
Erin,Category 2 hurricane,3-Aug,1995
Opal,Category 3 hurricane,4-Oct,1995
Earl,Category 1 hurricane,3-Sep,1998
Georges,Category 2 hurricane,25-Sep,1998
Irene,Category 1 hurricane,15-Oct,1999
Charley,Category 4 hurricane,13-Aug,2004
Frances,Category 2 hurricane,5-Sep,2004
Ivan,Category 3 hurricane,16-Sep,2004
Jeanne,Category 3 hurricane,26-Sep,2004
Dennis,Category 3 hurricane,10-Jul,2005
Katrina,Category 1 hurricane,25-Aug,2005
Rita,Category 1 hurricane,20-Sep,2005
Wilma,Category 3 hurricane,24-Oct,2005
Hermine,Category 1 hurricane,2-Sep,2016
Matthew,Category 2 hurricane,7-Oct,2016
Irma,Category 4 hurricane,10-Sep,2017
Michael,Category 5 hurricane,10-Oct,2018
